n59989,cAdvantage_system1.1+knownBit,circuit8,gap2,graph9
Time,
a,b,valid,frequency
251,239,True,6
251,191,False,59
215,239,False,2
243,189,False,4
221,245,False,1
255,191,False,24
223,191,False,5
187,255,False,17
251,215,False,10
243,191,False,12
251,185,False,5
251,173,False,9
243,245,False,6
187,167,False,2
255,253,False,5
219,247,False,5
247,183,False,9
247,213,False,2
243,185,False,1
235,181,False,6
219,255,False,13
251,223,False,12
251,189,False,42
191,159,False,3
239,237,False,2
245,253,False,1
235,247,False,11
251,207,False,3
247,179,False,4
179,191,False,4
243,183,False,5
253,181,False,5
251,167,False,4
191,181,False,10
187,221,False,4
251,229,False,4
255,177,False,8
219,249,False,3
239,241,False,3
151,183,False,1
247,165,False,3
255,223,False,6
251,255,False,32
255,247,False,7
239,191,False,9
247,191,False,7
255,237,False,2
251,231,False,4
235,191,False,13
247,221,False,4
219,191,False,16
235,251,False,3
255,157,False,10
255,181,False,29
187,253,False,8
235,175,False,1
249,189,False,9
235,221,False,6
233,239,False,2
235,159,False,3
219,183,False,5
207,187,False,1
211,239,False,1
255,149,False,12
249,245,False,2
249,185,False,2
219,203,False,1
227,231,False,2
231,185,False,2
235,179,False,1
157,215,False,1
219,165,False,1
255,187,False,8
239,239,False,2
255,183,False,29
255,151,False,11
251,175,False,7
255,179,False,5
179,255,False,3
189,191,False,4
223,159,False,2
185,255,False,12
171,255,False,6
187,191,False,21
251,245,False,18
255,217,False,1
159,183,False,1
251,151,False,8
251,181,False,30
177,255,False,4
223,181,False,3
247,173,False,1
247,185,False,1
235,183,False,11
253,185,False,1
237,181,False,2
177,253,False,2
191,255,False,3
251,247,False,16
253,191,False,10
243,255,False,16
249,255,False,11
235,255,False,12
251,183,False,22
187,247,False,10
219,253,False,6
253,183,False,4
217,255,False,2
255,241,False,5
251,221,False,8
179,253,False,5
227,247,False,2
187,189,False,12
255,163,False,3
251,155,False,5
245,189,False,3
219,189,False,4
185,191,False,5
207,183,False,1
243,175,False,1
219,211,False,1
243,213,False,1
167,189,False,1
183,181,False,1
223,153,False,1
251,177,False,4
217,249,False,2
251,145,False,2
245,255,False,2
255,189,False,20
251,251,False,7
255,159,False,9
221,255,False,2
215,255,False,3
253,253,False,3
223,247,False,4
255,249,False,2
191,191,False,8
207,255,False,2
247,253,False,5
223,215,False,3
249,253,False,4
247,175,False,1
215,223,False,2
251,241,False,1
251,187,False,9
191,183,False,6
223,183,False,3
239,189,False,8
205,255,False,1
247,243,False,4
207,249,False,1
249,251,False,2
255,167,False,4
237,183,False,2
243,243,False,3
191,151,False,1
243,219,False,3
253,229,False,1
239,181,False,5
187,237,False,4
237,189,False,1
203,251,False,1
187,175,False,3
251,213,False,5
203,239,False,1
171,251,False,4
255,209,False,3
249,221,False,4
239,179,False,3
207,237,False,1
249,215,False,1
163,255,False,2
187,181,False,4
219,181,False,2
249,213,False,1
139,251,False,1
199,189,False,1
251,149,False,9
251,165,False,5
179,167,False,1
247,223,False,6
255,175,False,4
253,247,False,3
251,235,False,2
243,223,False,6
249,191,False,12
239,187,False,6
253,189,False,7
221,191,False,1
191,187,False,8
183,247,False,3
191,175,False,5
243,247,False,8
241,255,False,3
251,159,False,10
237,191,False,1
219,239,False,1
255,173,False,3
187,223,False,6
187,243,False,2
179,247,False,5
235,243,False,3
211,253,False,3
185,223,False,1
251,179,False,6
183,245,False,1
245,183,False,3
251,157,False,5
247,181,False,10
187,183,False,7
187,231,False,3
219,245,False,3
189,215,False,1
233,247,False,1
191,165,False,2
251,147,False,3
183,173,False,1
189,185,False,1
187,217,False,1
187,173,False,2
217,189,False,1
235,151,False,1
251,169,False,3
187,213,False,2
219,151,False,1
233,189,False,3
179,211,False,1
247,137,False,1
163,243,False,1
255,245,False,7
159,255,False,1
255,215,False,5
255,221,False,7
191,235,False,2
243,253,False,8
255,143,False,1
239,183,False,9
215,247,False,1
255,227,False,1
245,247,False,2
247,159,False,3
219,223,False,6
191,167,False,2
245,237,False,1
237,187,False,2
249,183,False,4
235,215,False,2
243,221,False,2
173,253,False,1
239,211,False,1
217,191,False,2
223,151,False,2
143,191,False,1
239,151,False,3
179,223,False,4
227,191,False,3
219,221,False,3
249,219,False,2
251,211,False,6
249,249,False,2
251,197,False,1
243,181,False,5
185,187,False,2
211,159,False,1
183,229,False,1
239,177,False,2
171,215,False,2
147,183,False,1
171,181,False,4
209,181,False,1
223,255,False,4
255,239,False,1
247,247,False,5
251,253,False,14
239,251,True,3
243,251,False,3
239,223,False,1
223,187,False,1
249,247,False,6
155,255,False,2
233,255,False,4
239,245,False,3
223,189,False,5
251,243,False,3
255,211,False,2
183,191,False,2
243,187,False,3
237,253,False,2
191,237,False,1
169,255,False,2
191,245,False,3
231,189,False,1
201,255,False,1
235,249,False,2
223,185,False,2
247,171,False,1
187,245,False,4
155,191,False,2
245,159,False,1
215,183,False,1
239,171,False,2
207,189,False,3
155,159,False,1
189,157,False,2
221,181,False,1
165,247,False,1
235,173,False,1
219,179,False,1
255,133,False,1
205,187,False,1
217,221,False,1
217,187,False,1
255,145,False,4
249,149,False,2
239,129,False,1
247,255,False,4
239,247,False,4
189,255,False,2
255,185,False,13
235,223,False,4
191,221,False,1
231,223,False,1
159,191,False,2
191,189,False,12
255,213,False,3
255,155,False,5
167,255,False,1
253,235,False,1
231,175,False,1
171,191,False,3
223,219,False,1
235,187,False,2
175,183,False,1
183,215,False,1
255,135,False,1
191,157,False,1
181,247,False,2
211,223,False,1
221,249,False,1
191,213,False,3
219,187,False,2
171,247,False,6
253,179,False,1
243,215,False,2
219,235,False,1
183,189,False,3
255,169,False,1
179,235,False,1
219,215,False,1
223,173,False,1
155,243,False,1
185,189,False,2
189,171,False,1
219,229,False,2
187,241,False,2
233,249,False,1
167,179,False,1
251,209,False,1
167,213,False,2
247,145,False,1
239,255,False,1
191,253,False,5
247,239,False,1
253,221,False,4
255,219,False,3
173,255,False,3
203,255,False,2
239,215,False,4
253,187,False,2
189,253,False,2
235,239,False,1
219,251,False,2
187,251,False,7
239,167,False,1
159,247,False,2
183,187,False,1
255,165,False,4
235,245,False,3
183,251,False,1
219,243,False,1
189,187,False,1
171,253,False,2
187,249,False,1
187,159,False,2
255,153,False,4
243,159,False,2
147,255,False,1
191,233,False,1
243,237,False,1
245,187,False,1
183,183,False,3
219,219,False,1
239,185,False,2
191,143,False,1
233,191,False,4
225,255,False,2
195,255,False,1
189,249,False,1
221,189,False,1
231,215,False,1
249,181,False,2
251,163,False,2
203,187,False,1
163,223,False,1
239,149,False,2
139,253,False,1
151,221,False,1
247,153,False,1
211,211,False,1
147,215,False,1
183,165,False,1
179,217,False,1
255,255,False,4
255,251,False,1
253,255,False,3
231,255,False,3
191,223,False,1
223,251,False,3
183,239,False,1
247,235,False,1
247,245,False,4
247,151,False,1
191,215,False,1
175,243,False,1
187,187,False,2
249,187,False,2
219,159,False,3
189,189,False,2
185,253,False,1
199,191,False,1
241,191,False,3
175,219,False,1
155,253,False,3
215,237,False,1
245,231,False,1
223,179,False,1
239,157,False,3
179,251,False,1
235,189,False,4
187,151,False,1
153,255,False,2
147,253,False,1
219,227,False,2
211,249,False,1
175,213,False,2
239,209,False,1
171,159,False,1
251,153,False,1
217,243,False,1
175,185,False,1
153,191,False,3
211,245,False,2
179,143,False,1
249,177,False,1
193,253,False,1
187,185,False,1
145,251,False,1
137,191,False,1
207,153,False,1
209,183,False,1
167,217,False,1
191,239,False,1
255,171,False,3
183,255,False,3
223,231,False,1
227,255,False,2
223,221,False,2
231,247,False,2
253,175,False,1
253,215,False,2
211,255,False,3
239,221,False,2
253,245,False,3
175,191,False,2
203,191,False,1
187,215,False,3
203,247,False,1
159,189,False,1
175,245,False,1
241,251,False,1
249,159,False,2
239,213,False,1
251,227,False,1
155,215,False,1
171,223,False,1
155,189,False,3
249,241,False,1
169,253,False,1
227,243,False,1
217,183,False,1
249,151,False,1
179,189,False,1
247,209,False,2
185,181,False,1
243,179,False,2
169,245,False,1
241,167,False,1
165,245,False,1
179,197,False,1
229,255,False,1
223,245,False,1
215,191,False,1
175,253,False,1
251,249,False,3
235,253,False,4
231,191,False,2
251,237,False,1
247,187,False,2
253,157,False,2
231,183,False,1
245,245,False,1
233,253,False,1
251,217,False,1
217,247,False,1
231,221,False,1
245,221,False,1
179,183,False,1
245,181,False,1
173,245,False,1
155,219,False,1
167,183,False,1
143,245,False,1
179,245,False,2
249,167,False,1
171,189,False,2
155,221,False,1
139,239,False,1
195,247,False,1
177,247,False,1
243,151,False,1
235,177,False,1
175,223,False,1
183,253,False,1
237,247,False,3
249,239,False,1
255,229,False,1
159,223,False,1
245,191,False,1
207,231,False,1
155,239,False,1
217,239,False,1
211,191,False,1
167,191,False,1
241,253,False,2
229,253,False,1
227,251,False,1
245,249,False,1
173,191,False,1
213,253,False,1
207,155,False,1
223,141,False,1
211,183,False,1
217,245,False,1
157,143,False,1
189,177,False,1
223,253,False,1
237,255,False,1
247,229,False,2
187,219,False,1
227,253,False,1
247,157,False,1
223,205,False,1
219,155,False,1
163,191,False,1
211,175,False,2
253,147,False,1
187,157,False,2
165,251,False,1
145,255,False,1
211,235,False,1
235,153,False,2
231,149,False,1
251,219,False,3
251,143,False,1
255,199,False,1
151,255,False,1
239,159,False,1
207,247,False,1
247,237,False,1
255,147,False,2
191,185,False,1
227,223,False,1
217,253,False,1
255,139,False,2
239,233,False,1
247,141,False,1
207,167,False,1
217,159,False,1
241,159,False,1
205,189,False,1
173,189,False,1
237,185,False,1
167,243,False,1
161,251,False,1
161,253,False,1
179,213,False,1
255,233,False,1
247,167,False,1
189,221,False,1
151,231,False,1
235,185,False,1
241,221,False,1
169,239,False,1
221,185,False,1
177,189,False,1
185,155,False,1
221,223,False,1
253,231,False,1
253,213,False,1
185,251,False,1
167,247,False,1
131,255,False,1
243,171,False,1
215,143,False,1
207,157,False,1
171,231,False,1
249,171,False,1
211,179,False,1
177,181,False,1
223,243,False,1
219,175,False,1
189,183,False,2
235,167,False,1
159,185,False,1
241,173,False,1
227,213,False,1
247,219,False,2
143,189,False,1
175,255,False,1
247,189,False,1
253,159,False,1
191,155,False,1
247,231,False,1
251,171,False,1
203,181,False,1
215,187,False,1
179,219,False,1
167,219,False,1
209,223,False,1
253,207,False,1
